"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/41503171",27631.8 ⊆ ,306 $
"Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB + 128GB SSD SSD PCIe NVMe M.2, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREYhttps://www.link.kg/catalog/1/41504543",29076.6 ⊆ ,322 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 500GB, 15.6""FHD RUS, HDMI, BLACKhttps://www.link.kg/catalog/1/41503201",27812.4 ⊆ ,308 $
"Ноутбук Acer Aspire Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Blue [NX.KAFEM.004]пятна на крышке(*id 12)https://www.link.kg/catalog/1/41506355",27812.4 ⊆ ,308 $
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 240GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374235",28444.5 ⊆ ,315 $
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41375136",28444.5 ⊆ ,315 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 500GB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374372",28444.5 ⊆ ,315 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB + 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374359",28444.5 ⊆ ,315 $
"Моноблок Share 24, 1200LGA, 2xSODIMM DDR4 2666Hz, 1xMPCIE (128-1TB M.2), 23.8"" FHD, WiFi, Bluetooth, VGA, HDMI, 4xUSB, LAN, Audio(*id 12)https://www.link.kg/catalog/1/41505948",27902.7 ⊆ ,309 $
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 120GB, 15.6""FHD RUS, HDMI, BLACKhttps://www.link.kg/catalog/1/41503202",27993 ⊆ ,310 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/41503169",28083.3 ⊆ ,311 $
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 1TB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rushttps://www.link.kg/catalog/1/41374374",28625.1 ⊆ ,317 $
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAYhttps://www.link.kg/catalog/1/41503173",28173.6 ⊆ ,312 $
"Acer Aspire 3 A315-56 i3-1005G1 1.2-3.4GHz,4GB, 1TB, 15.6""FHD LED ,RUS,BLACK (12мес)https://www.link.kg/catalog/1/41503258",28173.6 ⊆ ,312 $
